epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,617.753,1.49559,1.39352,1.63655,0.71135,0.5988,0.68423,0.41423,1.40789,1.21571,1.58638,0.0686161,0.00165179,0.00165179
2,1245.75,1.32609,1.22109,1.51796,0.76147,0.64643,0.74207,0.47556,1.27541,1.14049,1.49265,0.0369486,0.00331764,0.00331764
3,1891.67,1.28826,1.17795,1.49092,0.75882,0.62517,0.72718,0.46461,1.30951,1.14257,1.54032,0.00527787,0.00498025,0.00498025
4,2526.38,1.26994,1.14023,1.47281,0.69296,0.59836,0.67069,0.39219,1.43612,1.66372,1.61547,0.00498902,0.00498902,0.00498902
5,3164.57,1.24587,1.11451,1.45497,0.79046,0.67324,0.77645,0.52061,1.21641,1.01623,1.44791,0.00498048,0.00498048,0.00498048
6,3784.78,1.22649,1.08374,1.43929,0.80908,0.66092,0.77664,0.52606,1.18088,0.99864,1.41477,0.00496953,0.00496953,0.00496953
7,4431.19,1.21012,1.06103,1.43198,0.78613,0.69133,0.78977,0.52166,1.23015,0.98836,1.46582,0.00495616,0.00495616,0.00495616
8,5041.02,1.1979,1.04312,1.41795,0.8136,0.69827,0.80113,0.52274,1.23558,0.97886,1.4689,0.00494039,0.00494039,0.00494039
9,5684.24,1.19064,1.03642,1.41807,0.77243,0.65507,0.75757,0.51757,1.16345,1.04873,1.39603,0.00492224,0.00492224,0.00492224
10,6318.44,1.18356,1.00933,1.40239,0.80041,0.7116,0.80498,0.56397,1.09401,0.98549,1.35563,0.00490173,0.00490173,0.00490173
11,6957.96,1.17839,1.00325,1.4006,0.82866,0.74677,0.84072,0.58758,1.09525,0.83256,1.3358,0.00487886,0.00487886,0.00487886
12,7597.52,1.16789,0.99288,1.39437,0.83251,0.7284,0.8339,0.59058,1.08062,0.8358,1.33315,0.00485368,0.00485368,0.00485368
13,8215.75,1.16433,0.9808,1.38626,0.81331,0.67266,0.79334,0.55819,1.10405,0.95529,1.35605,0.0048262,0.0048262,0.0048262
14,8834.3,1.15161,0.96784,1.37806,0.84691,0.71942,0.83057,0.57811,1.11559,0.87049,1.35343,0.00479644,0.00479644,0.00479644
15,9464.89,1.14666,0.95227,1.37665,0.83465,0.7492,0.847,0.60159,1.04966,0.79859,1.31623,0.00476445,0.00476445,0.00476445
16,10097.9,1.1347,0.95369,1.36861,0.84146,0.73133,0.83938,0.60385,1.05277,0.8199,1.30779,0.00473024,0.00473024,0.00473024
17,10731.3,1.12807,0.93803,1.36024,0.83806,0.71046,0.82232,0.58932,1.07091,0.83985,1.32536,0.00469386,0.00469386,0.00469386
18,11370.9,1.12023,0.93366,1.35387,0.85685,0.71872,0.8442,0.61108,1.05002,0.79512,1.31636,0.00465534,0.00465534,0.00465534
19,12011.9,1.11941,0.91971,1.35618,0.8448,0.7335,0.83492,0.6019,1.04225,0.81979,1.31449,0.00461471,0.00461471,0.00461471
20,12618.4,1.10907,0.90926,1.34452,0.82797,0.75188,0.84552,0.6157,1.04073,0.80314,1.3045,0.00457202,0.00457202,0.00457202
21,13256.4,1.10996,0.90877,1.34636,0.85273,0.74701,0.85845,0.62168,1.03328,0.76537,1.29754,0.00452732,0.00452732,0.00452732
22,13890.6,1.10382,0.89987,1.33687,0.84677,0.77448,0.8707,0.63144,1.01756,0.74824,1.2769,0.00448063,0.00448063,0.00448063
23,14536.4,1.09757,0.89408,1.33914,0.8263,0.77142,0.86325,0.62737,1.02987,0.74443,1.27653,0.00443202,0.00443202,0.00443202
24,15175.8,1.09964,0.88501,1.33166,0.84998,0.77359,0.86853,0.63154,1.00336,0.72897,1.26787,0.00438152,0.00438152,0.00438152
25,15815.2,1.0904,0.874,1.32453,0.86236,0.78445,0.88035,0.64557,0.99095,0.71102,1.25646,0.0043292,0.0043292,0.0043292
26,16455.2,1.07912,0.87376,1.32368,0.88505,0.76717,0.88304,0.65328,0.98095,0.69745,1.25724,0.00427509,0.00427509,0.00427509
27,17098.2,1.08347,0.86538,1.31948,0.87912,0.78844,0.89361,0.66948,0.95769,0.67664,1.23342,0.00421925,0.00421925,0.00421925
28,17752.6,1.08085,0.86197,1.32135,0.86596,0.78716,0.88375,0.63793,1.01927,0.70799,1.27571,0.00416175,0.00416175,0.00416175
29,18411.3,1.07489,0.84853,1.31302,0.86036,0.7698,0.86837,0.64711,0.98079,0.7131,1.24578,0.00410262,0.00410262,0.00410262
30,19057.1,1.06452,0.84689,1.30791,0.869,0.77226,0.87836,0.65144,0.97975,0.7049,1.25533,0.00404194,0.00404194,0.00404194
31,19696.9,1.06381,0.83874,1.30432,0.86963,0.78002,0.87825,0.64771,0.98443,0.69514,1.25335,0.00397977,0.00397977,0.00397977
32,20343.7,1.05613,0.83444,1.30253,0.88895,0.79093,0.89858,0.67901,0.9365,0.64798,1.22297,0.00391616,0.00391616,0.00391616
33,20994.8,1.05477,0.83086,1.2974,0.85905,0.79933,0.88834,0.66518,0.95144,0.6903,1.21747,0.00385117,0.00385117,0.00385117
34,21621.9,1.05028,0.82071,1.29589,0.87732,0.80572,0.89556,0.66511,0.95738,0.66391,1.22738,0.00378488,0.00378488,0.00378488
35,22262.8,1.03976,0.81306,1.29113,0.87075,0.79087,0.88661,0.66959,0.94306,0.67175,1.21507,0.00371734,0.00371734,0.00371734
36,22921.4,1.03803,0.80641,1.28441,0.8835,0.81192,0.90279,0.67426,0.95204,0.65281,1.21607,0.00364863,0.00364863,0.00364863
37,23573.1,1.03282,0.80495,1.28648,0.87135,0.77581,0.8789,0.65833,0.95137,0.70087,1.22416,0.0035788,0.0035788,0.0035788
38,24221.8,1.02788,0.79505,1.28181,0.89764,0.78682,0.89847,0.6826,0.91657,0.63888,1.21144,0.00350794,0.00350794,0.00350794
39,24872.6,1.02897,0.79352,1.27729,0.88867,0.82455,0.90873,0.6862,0.92946,0.61561,1.20738,0.00343611,0.00343611,0.00343611
40,25536.4,1.02422,0.79023,1.27703,0.88591,0.8033,0.89769,0.67608,0.94038,0.65628,1.20618,0.00336338,0.00336338,0.00336338
41,26189.4,1.0182,0.7805,1.26789,0.88949,0.82917,0.91563,0.69981,0.9079,0.59692,1.19054,0.00328982,0.00328982,0.00328982
42,26855.5,1.01074,0.77448,1.26293,0.88417,0.82858,0.9117,0.69601,0.90409,0.60369,1.18735,0.0032155,0.0032155,0.0032155
